id,slug,name,product_image,small_description,quantity,description,original_price,selling_price,status,trending,tag,meta_title,meta_keywords,meta_description,created_at,Category_id
172,Yamaha SZ RR V 2.0,Yamaha SZ RR V 2.0,Individual,1st owner,32000,57549,35000,35000,0,,,Yamaha SZ RR V 2.0,Yamaha SZ RR V 2.0,,,
173,Bajaj Discover 150,Bajaj Discover 150,Individual,1st owner,38000,69983,25000,25000,0,,,Bajaj Discover 150,Bajaj Discover 150,,,
174,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,2nd owner,71000,54299,80000,80000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
175,TVS Flame,TVS Flame,Individual,1st owner,8000,,15000,15000,0,,,TVS Flame,TVS Flame,,,
176,Vespa VX 125,Vespa VX 125,Individual,1st owner,12000,,45000,45000,0,,,Vespa VX 125,Vespa VX 125,,,
177,Yamaha SZ X,Yamaha SZ X,Individual,2nd owner,50000,72303,25000,25000,0,,,Yamaha SZ X,Yamaha SZ X,,,
178,Honda CBF Stunner,Honda CBF Stunner,Individual,2nd owner,30000,65800,35000,35000,0,,,Honda CBF Stunner,Honda CBF Stunner,,,
179,Bajaj Discover 100 T,Bajaj Discover 100 T,Individual,1st owner,15888,58757,25000,25000,0,,,Bajaj Discover 100 T,Bajaj Discover 100 T,,,
180,Royal Enfield Classic 350,Royal Enfield Classic 350,Individual,1st owner,26000,47032,170000,170000,0,,,Royal Enfield Classic 350,Royal Enfield Classic 350,,,
181,Honda Activa [2000-2015],Honda Activa [2000-2015],Individual,1st owner,5600,,25000,25000,0,,,Honda Activa [2000-2015],Honda Activa [2000-2015],,,
182,Royal Enfield Electra 5 S,Royal Enfield Electra 5 S,Individual,1st owner,41000,50267,60000,60000,0,,,Royal Enfield Electra 5 S,Royal Enfield Electra 5 S,,,
183,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,2nd owner,19612,,41000,41000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
184,Honda Shine,Honda Shine,Individual,1st owner,17000,,35000,35000,0,,,Honda Shine,Honda Shine,,,
185,Honda CB Unicorn 160,Honda CB Unicorn 160,Individual,1st owner,33700,,75000,75000,0,,,Honda CB Unicorn 160,Honda CB Unicorn 160,,,
186,Honda Activa 3G,Honda Activa 3G,Individual,1st owner,100000,79233,47999,47999,0,,,Honda Activa 3G,Honda Activa 3G,,,
187,Honda Shine,Honda Shine,Individual,1st owner,6000,54605,36999,36999,0,,,Honda Shine,Honda Shine,,,
188,Bajaj Pulsar 180,Bajaj Pulsar 180,Individual,1st owner,21000,,25000,25000,0,,,Bajaj Pulsar 180,Bajaj Pulsar 180,,,
189,Suzuki Gixxer SF,Suzuki Gixxer SF,Individual,1st owner,80000,85011,60000,60000,0,,,Suzuki Gixxer SF,Suzuki Gixxer SF,,,
190,Honda CB Unicorn 150,Honda CB Unicorn 150,Individual,1st owner,15000,,50000,50000,0,,,Honda CB Unicorn 150,Honda CB Unicorn 150,,,
191,Yamaha YZF R15 [2011-2018],Yamaha YZF R15 [2011-2018],Individual,1st owner,46000,74295,65000,65000,0,,,Yamaha YZF R15 [2011-2018],Yamaha YZF R15 [2011-2018],,,
192,TVS Sport,TVS Sport,Individual,1st owner,11000,118997,12000,12000,0,,,TVS Sport,TVS Sport,,,
193,Bajaj Pulsar AS200,Bajaj Pulsar AS200,Individual,1st owner,72000,,60000,60000,0,,,Bajaj Pulsar AS200,Bajaj Pulsar AS200,,,
194,Honda Activa [2000-2015],Honda Activa [2000-2015],Individual,1st owner,50000,92074,20000,20000,0,,,Honda Activa [2000-2015],Honda Activa [2000-2015],,,
195,Yamaha FZ16,Yamaha FZ16,Individual,1st owner,50000,50267,27000,27000,0,,,Yamaha FZ16,Yamaha FZ16,,,
196,Bajaj Boxer,Bajaj Boxer,Individual,1st owner,67000,78712,10000,10000,0,,,Bajaj Boxer,Bajaj Boxer,,,
197,Hero Honda Hunk,Hero Honda Hunk,Individual,1st owner,30000,,56000,56000,0,,,Hero Honda Hunk,Hero Honda Hunk,,,
198,Hero Honda Hunk,Hero Honda Hunk,Individual,1st owner,48000,,58000,58000,0,,,Hero Honda Hunk,Hero Honda Hunk,,,
199,Bajaj Avenger Cruise 220,Bajaj Avenger Cruise 220,Individual,1st owner,48000,,87000,87000,0,,,Bajaj Avenger Cruise 220,Bajaj Avenger Cruise 220,,,
200,Yamaha Ray Z,Yamaha Ray Z,Individual,1st owner,8000,,35000,35000,0,,,Yamaha Ray Z,Yamaha Ray Z,,,
201,Bajaj Pulsar 180,Bajaj Pulsar 180,Individual,1st owner,15500,52949,35000,35000,0,,,Bajaj Pulsar 180,Bajaj Pulsar 180,,,
202,Bajaj Discover 150F,Bajaj Discover 150F,Individual,1st owner,45000,85011,40000,40000,0,,,Bajaj Discover 150F,Bajaj Discover 150F,,,
203,Bajaj Pulsar 135 LS,Bajaj Pulsar 135 LS,Individual,2nd owner,60855,64071,56000,56000,0,,,Bajaj Pulsar 135 LS,Bajaj Pulsar 135 LS,,,
204,Bajaj Pulsar 180,Bajaj Pulsar 180,Individual,3rd owner,37714,64589,30000,30000,0,,,Bajaj Pulsar 180,Bajaj Pulsar 180,,,
205,Honda Activa 125 [2016-2017],Honda Activa 125 [2016-2017],Individual,2nd owner,60000,85011,40000,40000,0,,,Honda Activa 125 [2016-2017],Honda Activa 125 [2016-2017],,,
206,Hero HF Deluxe,Hero HF Deluxe,Individual,1st owner,26000,61545,60000,60000,0,,,Hero HF Deluxe,Hero HF Deluxe,,,
207,Hero Karizma 2014,Hero Karizma 2014,Individual,1st owner,6000,,40000,40000,0,,,Hero Karizma 2014,Hero Karizma 2014,,,
208,Bajaj Platina 100,Bajaj Platina 100,Individual,1st owner,30000,86744,40000,40000,0,,,Bajaj Platina 100,Bajaj Platina 100,,,
209,Royal Enfield Bullet 500,Royal Enfield Bullet 500,Individual,1st owner,17000,,130000,130000,0,,,Royal Enfield Bullet 500,Royal Enfield Bullet 500,,,
210,Bajaj Pulsar AS200,Bajaj Pulsar AS200,Individual,1st owner,34601,168482,45000,45000,0,,,Bajaj Pulsar AS200,Bajaj Pulsar AS200,,,
211,Yamaha FZ S [2012-2016],Yamaha FZ S [2012-2016],Individual,1st owner,48000,92074,42000,42000,0,,,Yamaha FZ S [2012-2016],Yamaha FZ S [2012-2016],,,
212,Bajaj Pulsar 220 Fi,Bajaj Pulsar 220 Fi,Individual,1st owner,60000,79432,25000,25000,0,,,Bajaj Pulsar 220 Fi,Bajaj Pulsar 220 Fi,,,
213,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,44000,,15000,15000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
214,Bajaj Dominar 400 [2018],Bajaj Dominar 400 [2018],Individual,1st owner,55000,,170000,170000,0,,,Bajaj Dominar 400 [2018],Bajaj Dominar 400 [2018],,,
215,Hero Passion X Pro [2016-2017],Hero Passion X Pro [2016-2017],Individual,1st owner,16000,163331,38000,38000,0,,,Hero Passion X Pro [2016-2017],Hero Passion X Pro [2016-2017],,,
216,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,Individual,2nd owner,20000,59095,60000,60000,0,,,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,,,
217,TVS Apache RTR 160,TVS Apache RTR 160,Individual,2nd owner,17500,84042,65000,65000,0,,,TVS Apache RTR 160,TVS Apache RTR 160,,,
218,Bajaj Avenger [2015],Bajaj Avenger [2015],Individual,1st owner,46000,,35000,35000,0,,,Bajaj Avenger [2015],Bajaj Avenger [2015],,,
219,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,30000,75502,70000,70000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
220,Hero Honda Glamour,Hero Honda Glamour,Individual,1st owner,6500,,15000,15000,0,,,Hero Honda Glamour,Hero Honda Glamour,,,
221,Hero Splendor iSmart,Hero Splendor iSmart,Individual,1st owner,80000,,50000,50000,0,,,Hero Splendor iSmart,Hero Splendor iSmart,,,
222,Royal Enfield Classic 350,Royal Enfield Classic 350,Individual,2nd owner,10000,52271,145000,145000,0,,,Royal Enfield Classic 350,Royal Enfield Classic 350,,,
223,Yamaha FZ16,Yamaha FZ16,Individual,1st owner,2200,,25000,25000,0,,,Yamaha FZ16,Yamaha FZ16,,,
224,Hero Xtreme Sports,Hero Xtreme Sports,Individual,1st owner,40000,78712,58000,58000,0,,,Hero Xtreme Sports,Hero Xtreme Sports,,,
225,Royal Enfield Bullet 350 [2007-2011],Royal Enfield Bullet 350 [2007-2011],Individual,1st owner,21000,80350,90000,90000,0,,,Royal Enfield Bullet 350 [2007-2011],Royal Enfield Bullet 350 [2007-2011],,,
226,Hero Honda Passion,Hero Honda Passion,Individual,1st owner,3500,,9000,9000,0,,,Hero Honda Passion,Hero Honda Passion,,,
227,Bajaj Discover 150S,Bajaj Discover 150S,Individual,2nd owner,66191,,40000,40000,0,,,Bajaj Discover 150S,Bajaj Discover 150S,,,
228,TVS Scooty Zest 110,TVS Scooty Zest 110,Individual,1st owner,50000,63331,28000,28000,0,,,TVS Scooty Zest 110,TVS Scooty Zest 110,,,
229,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],Individual,1st owner,32800,52372,50000,50000,0,,,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],,,
230,Yamaha Cygnus Ray ZR,Yamaha Cygnus Ray ZR,Individual,1st owner,32000,80435,56000,56000,0,,,Yamaha Cygnus Ray ZR,Yamaha Cygnus Ray ZR,,,
231,Honda Activa [2000-2015],Honda Activa [2000-2015],Individual,1st owner,3900,58630,35000,35000,0,,,Honda Activa [2000-2015],Honda Activa [2000-2015],,,
232,TVS Apache RTR 200 4V,TVS Apache RTR 200 4V,Individual,1st owner,10000,50267,95000,95000,0,,,TVS Apache RTR 200 4V,TVS Apache RTR 200 4V,,,
233,Honda Shine,Honda Shine,Individual,1st owner,9600,,30000,30000,0,,,Honda Shine,Honda Shine,,,
234,Honda CB Hornet 160R,Honda CB Hornet 160R,Individual,1st owner,46782,,95000,95000,0,,,Honda CB Hornet 160R,Honda CB Hornet 160R,,,
235,Honda Activa i [2016-2017],Honda Activa i [2016-2017],Individual,1st owner,8000,94703,40000,40000,0,,,Honda Activa i [2016-2017],Honda Activa i [2016-2017],,,
236,Hero Karizma 2014,Hero Karizma 2014,Individual,1st owner,11000,53436,30000,30000,0,,,Hero Karizma 2014,Hero Karizma 2014,,,
237,Bajaj Discover 100 T,Bajaj Discover 100 T,Individual,2nd owner,51000,86744,18000,18000,0,,,Bajaj Discover 100 T,Bajaj Discover 100 T,,,
238,Honda Aviator,Honda Aviator,Individual,1st owner,45000,47032,14000,14000,0,,,Honda Aviator,Honda Aviator,,,
239,Hero Splendor Plus,Hero Splendor Plus,Individual,1st owner,66000,59183,17000,17000,0,,,Hero Splendor Plus,Hero Splendor Plus,,,
240,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,Individual,2nd owner,50000,,125000,125000,0,,,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,,,
241,Bajaj CT 110,Bajaj CT 110,Individual,1st owner,23500,,20000,20000,0,,,Bajaj CT 110,Bajaj CT 110,,,
242,Hero Passion PRO i3s,Hero Passion PRO i3s,Individual,1st owner,25000,,50000,50000,0,,,Hero Passion PRO i3s,Hero Passion PRO i3s,,,
243,KTM RC 390,KTM RC 390,Individual,1st owner,41000,56925,210000,210000,0,,,KTM RC 390,KTM RC 390,,,
244,Bajaj Pulsar 220F,Bajaj Pulsar 220F,Individual,1st owner,12000,,70000,70000,0,,,Bajaj Pulsar 220F,Bajaj Pulsar 220F,,,
245,Hero Maestro Edge,Hero Maestro Edge,Individual,1st owner,33000,,40000,40000,0,,,Hero Maestro Edge,Hero Maestro Edge,,,
246,Bajaj Xcd,Bajaj Xcd,Individual,1st owner,15000,55980,10000,10000,0,,,Bajaj Xcd,Bajaj Xcd,,,
247,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,50000,,35000,35000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
248,TVS Centra,TVS Centra,Individual,1st owner,40000,,10000,10000,0,,,TVS Centra,TVS Centra,,,
249,Honda Activa 3G,Honda Activa 3G,Individual,1st owner,50000,,42000,42000,0,,,Honda Activa 3G,Honda Activa 3G,,,
250,Yamaha FZ16,Yamaha FZ16,Individual,1st owner,20000,54605,20000,20000,0,,,Yamaha FZ16,Yamaha FZ16,,,
251,Hero Maestro Edge,Hero Maestro Edge,Individual,1st owner,50000,78712,25000,25000,0,,,Hero Maestro Edge,Hero Maestro Edge,,,
252,Bajaj Discover 125,Bajaj Discover 125,Individual,1st owner,55000,52790,25000,25000,0,,,Bajaj Discover 125,Bajaj Discover 125,,,
253,Royal Enfield Thunderbird 350X,Royal Enfield Thunderbird 350X,Individual,1st owner,70350,60122,145000,145000,0,,,Royal Enfield Thunderbird 350X,Royal Enfield Thunderbird 350X,,,
254,Hero Super Splendor,Hero Super Splendor,Individual,1st owner,2700,164004,50000,50000,0,,,Hero Super Splendor,Hero Super Splendor,,,
255,TVS Scooty Pep Plus,TVS Scooty Pep Plus,Individual,1st owner,20000,,30000,30000,0,,,TVS Scooty Pep Plus,TVS Scooty Pep Plus,,,
256,Yamaha FZ V 2.0,Yamaha FZ V 2.0,Individual,1st owner,20000,,60000,60000,0,,,Yamaha FZ V 2.0,Yamaha FZ V 2.0,,,
257,Hero Honda Splendor Plus,Hero Honda Splendor Plus,Individual,1st owner,41311,81508,15000,15000,0,,,Hero Honda Splendor Plus,Hero Honda Splendor Plus,,,
258,Hero CD Deluxe,Hero CD Deluxe,Individual,1st owner,65000,,15000,15000,0,,,Hero CD Deluxe,Hero CD Deluxe,,,
259,Hero Honda Passion PRO [2012],Hero Honda Passion PRO [2012],Individual,2nd owner,34000,,25000,25000,0,,,Hero Honda Passion PRO [2012],Hero Honda Passion PRO [2012],,,
260,Hero HF Deluxe i3s,Hero HF Deluxe i3s,Individual,1st owner,20000,,54000,54000,0,,,Hero HF Deluxe i3s,Hero HF Deluxe i3s,,,
261,Bajaj Xcd,Bajaj Xcd,Individual,1st owner,11000,,25000,25000,0,,,Bajaj Xcd,Bajaj Xcd,,,
262,Royal Enfield Interceptor 650,Royal Enfield Interceptor 650,Individual,1st owner,75000,,260000,260000,0,,,Royal Enfield Interceptor 650,Royal Enfield Interceptor 650,,,
263,Honda CBR-250R,Honda CBR-250R,Individual,1st owner,1200,,100000,100000,0,,,Honda CBR-250R,Honda CBR-250R,,,
264,Bajaj Kristal,Bajaj Kristal,Individual,1st owner,19000,199275,15000,15000,0,,,Bajaj Kristal,Bajaj Kristal,,,
265,Hero Honda Splendor Plus,Hero Honda Splendor Plus,Individual,1st owner,30000,,20000,20000,0,,,Hero Honda Splendor Plus,Hero Honda Splendor Plus,,,
266,Honda Dream Yuga,Honda Dream Yuga,Individual,1st owner,23000,,35000,35000,0,,,Honda Dream Yuga,Honda Dream Yuga,,,
267,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,Individual,1st owner,10000,56147,50000,50000,0,,,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,,,
268,Hero Xpulse 200,Hero Xpulse 200,Individual,1st owner,40000,87042,90000,90000,0,,,Hero Xpulse 200,Hero Xpulse 200,,,
269,Bajaj V15,Bajaj V15,Individual,1st owner,8600,107500,40000,40000,0,,,Bajaj V15,Bajaj V15,,,
270,Bajaj Avenger Street 220,Bajaj Avenger Street 220,Individual,1st owner,45000,67187,80000,80000,0,,,Bajaj Avenger Street 220,Bajaj Avenger Street 220,,,
271,Bajaj Discover 135,Bajaj Discover 135,Individual,1st owner,7200,95955,20000,20000,0,,,Bajaj Discover 135,Bajaj Discover 135,,,
272,Honda CB Unicorn 150,Honda CB Unicorn 150,Individual,1st owner,31195,,70000,70000,0,,,Honda CB Unicorn 150,Honda CB Unicorn 150,,,
273,Vespa SXL 149,Vespa SXL 149,Individual,1st owner,18000,74295,98000,98000,0,,,Vespa SXL 149,Vespa SXL 149,,,
274,Royal Enfield Machismo,Royal Enfield Machismo,Individual,1st owner,1000,,75000,75000,0,,,Royal Enfield Machismo,Royal Enfield Machismo,,,
275,Honda CB Shine SP,Honda CB Shine SP,Individual,2nd owner,17000,,50000,50000,0,,,Honda CB Shine SP,Honda CB Shine SP,,,
276,Honda CB Unicorn 150,Honda CB Unicorn 150,Individual,1st owner,46000,67214,40000,40000,0,,,Honda CB Unicorn 150,Honda CB Unicorn 150,,,
277,Honda CB Unicorn 150,Honda CB Unicorn 150,Individual,1st owner,77592,74295,75000,75000,0,,,Honda CB Unicorn 150,Honda CB Unicorn 150,,,
278,Honda CB Unicorn 150,Honda CB Unicorn 150,Individual,1st owner,54000,74295,50000,50000,0,,,Honda CB Unicorn 150,Honda CB Unicorn 150,,,
279,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,17000,74295,60000,60000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
280,TVS Apache RTR 160,TVS Apache RTR 160,Individual,1st owner,60000,,50000,50000,0,,,TVS Apache RTR 160,TVS Apache RTR 160,,,
281,Honda Dio,Honda Dio,Individual,1st owner,40000,,35000,35000,0,,,Honda Dio,Honda Dio,,,
282,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,Individual,1st owner,25000,,160000,160000,0,,,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,,,
283,Hero Maestro,Hero Maestro,Individual,1st owner,19000,,25000,25000,0,,,Hero Maestro,Hero Maestro,,,
284,Hero Honda CBZ extreme,Hero Honda CBZ extreme,Individual,2nd owner,40000,49412,42000,42000,0,,,Hero Honda CBZ extreme,Hero Honda CBZ extreme,,,
285,Bajaj Dominar 400,Bajaj Dominar 400,Individual,1st owner,51000,,200000,200000,0,,,Bajaj Dominar 400,Bajaj Dominar 400,,,
286,Honda Activa 125,Honda Activa 125,Individual,1st owner,7600,,40000,40000,0,,,Honda Activa 125,Honda Activa 125,,,
287,Royal Enfield Classic Desert Storm,Royal Enfield Classic Desert Storm,Individual,1st owner,14965,,130000,130000,0,,,Royal Enfield Classic Desert Storm,Royal Enfield Classic Desert Storm,,,
288,KTM 250 Duke,KTM 250 Duke,Individual,2nd owner,25000,181445,195000,195000,0,,,KTM 250 Duke,KTM 250 Duke,,,
289,KTM RC 390,KTM RC 390,Individual,1st owner,6000,,270000,270000,0,,,KTM RC 390,KTM RC 390,,,
290,Kawasaki Ninja 650 [2018-2019],Kawasaki Ninja 650 [2018-2019],Individual,1st owner,2380,,425000,425000,0,,,Kawasaki Ninja 650 [2018-2019],Kawasaki Ninja 650 [2018-2019],,,
291,TVS Apache RTR 200 4V,TVS Apache RTR 200 4V,Individual,2nd owner,13600,599000,85000,85000,0,,,TVS Apache RTR 200 4V,TVS Apache RTR 200 4V,,,
292,Kawasaki Ninja 250R,Kawasaki Ninja 250R,Individual,1st owner,10000,,125000,125000,0,,,Kawasaki Ninja 250R,Kawasaki Ninja 250R,,,
293,TVS Wego,TVS Wego,Individual,2nd owner,21000,317934,45000,45000,0,,,TVS Wego,TVS Wego,,,
294,Honda CBR-250R,Honda CBR-250R,Individual,1st owner,10000,54760,85000,85000,0,,,Honda CBR-250R,Honda CBR-250R,,,
295,Bajaj Pulsar NS200,Bajaj Pulsar NS200,Individual,2nd owner,18600,171646,85000,85000,0,,,Bajaj Pulsar NS200,Bajaj Pulsar NS200,,,
296,Suzuki GSX S750,Suzuki GSX S750,Individual,1st owner,7750,,760000,760000,0,,,Suzuki GSX S750,Suzuki GSX S750,,,
297,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,Individual,1st owner,2800,752020,100000,100000,0,,,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,,,
298,Royal Enfield Classic 350,Royal Enfield Classic 350,Individual,1st owner,30000,,95000,95000,0,,,Royal Enfield Classic 350,Royal Enfield Classic 350,,,
299,Honda CB Shine SP,Honda CB Shine SP,Individual,1st owner,9800,,48000,48000,0,,,Honda CB Shine SP,Honda CB Shine SP,,,
300,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],Individual,1st owner,25000,67469,40000,40000,0,,,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],,,
301,Honda CBF Stunner,Honda CBF Stunner,Individual,1st owner,29689,80435,37000,37000,0,,,Honda CBF Stunner,Honda CBF Stunner,,,
302,Bajaj Avenger [2015],Bajaj Avenger [2015],Individual,1st owner,43000,58757,38000,38000,0,,,Bajaj Avenger [2015],Bajaj Avenger [2015],,,
303,Suzuki Gixxer [2014-2018],Suzuki Gixxer [2014-2018],Individual,2nd owner,28243,75502,55000,55000,0,,,Suzuki Gixxer [2014-2018],Suzuki Gixxer [2014-2018],,,
304,Suzuki Access 125,Suzuki Access 125,Individual,1st owner,25000,78316,45000,45000,0,,,Suzuki Access 125,Suzuki Access 125,,,
305,TVS Scooty Streak,TVS Scooty Streak,Individual,1st owner,22300,,18000,18000,0,,,TVS Scooty Streak,TVS Scooty Streak,,,
306,Royal Enfield Thunderbird 350X,Royal Enfield Thunderbird 350X,Individual,2nd owner,33595,44140,140000,140000,0,,,Royal Enfield Thunderbird 350X,Royal Enfield Thunderbird 350X,,,
307,Yamaha Rx,Yamaha Rx,Individual,1st owner,5505,,70000,70000,0,,,Yamaha Rx,Yamaha Rx,,,
308,Hero Honda Splendor Plus,Hero Honda Splendor Plus,Individual,3rd owner,5000,,15000,15000,0,,,Hero Honda Splendor Plus,Hero Honda Splendor Plus,,,
309,Bajaj Pulsar 125,Bajaj Pulsar 125,Individual,1st owner,30000,,65000,65000,0,,,Bajaj Pulsar 125,Bajaj Pulsar 125,,,
310,Honda Activa 5G,Honda Activa 5G,Individual,1st owner,16000,,42000,42000,0,,,Honda Activa 5G,Honda Activa 5G,,,
311,Yamaha Fazer Dlx,Yamaha Fazer Dlx,Individual,1st owner,22000,57557,58000,58000,0,,,Yamaha Fazer Dlx,Yamaha Fazer Dlx,,,
312,Harley-Davidson Street 750,Harley-Davidson Street 750,Individual,1st owner,40000,,330000,330000,0,,,Harley-Davidson Street 750,Harley-Davidson Street 750,,,
313,Hero Xtreme 2014,Hero Xtreme 2014,Individual,4th owner,6500,534000,35000,35000,0,,,Hero Xtreme 2014,Hero Xtreme 2014,,,
314,Royal Enfield Classic 350,Royal Enfield Classic 350,Individual,1st owner,15000,72973,162000,162000,0,,,Royal Enfield Classic 350,Royal Enfield Classic 350,,,
315,Hero Honda Hunk,Hero Honda Hunk,Individual,1st owner,17365,,28000,28000,0,,,Hero Honda Hunk,Hero Honda Hunk,,,
316,Royal Enfield Interceptor 650,Royal Enfield Interceptor 650,Individual,1st owner,40000,,285000,285000,0,,,Royal Enfield Interceptor 650,Royal Enfield Interceptor 650,,,
317,Royal Enfield Classic 350,Royal Enfield Classic 350,Individual,1st owner,5500,,125000,125000,0,,,Royal Enfield Classic 350,Royal Enfield Classic 350,,,
318,Bajaj Pulsar 150 [2001-2011],Bajaj Pulsar 150 [2001-2011],Individual,1st owner,33900,,15000,15000,0,,,Bajaj Pulsar 150 [2001-2011],Bajaj Pulsar 150 [2001-2011],,,
319,Honda Activa [2000-2015],Honda Activa [2000-2015],Individual,1st owner,47670,,29500,29500,0,,,Honda Activa [2000-2015],Honda Activa [2000-2015],,,
320,TVS Apache RR310,TVS Apache RR310,Individual,1st owner,45000,50267,200000,200000,0,,,TVS Apache RR310,TVS Apache RR310,,,
321,Jawa Standard,Jawa Standard,Individual,1st owner,5000,,160000,160000,0,,,Jawa Standard,Jawa Standard,,,
322,Hero Honda Splendor PRO,Hero Honda Splendor PRO,Individual,1st owner,5700,,30000,30000,0,,,Hero Honda Splendor PRO,Hero Honda Splendor PRO,,,
323,Yamaha FZ25,Yamaha FZ25,Individual,1st owner,22866,,110000,110000,0,,,Yamaha FZ25,Yamaha FZ25,,,
324,Bajaj Pulsar 220F,Bajaj Pulsar 220F,Individual,1st owner,10000,133680,70000,70000,0,,,Bajaj Pulsar 220F,Bajaj Pulsar 220F,,,
325,Yamaha Fascino 110,Yamaha Fascino 110,Individual,1st owner,31000,,69000,69000,0,,,Yamaha Fascino 110,Yamaha Fascino 110,,,
326,Yamaha FZ16,Yamaha FZ16,Individual,1st owner,1600,57112,30000,30000,0,,,Yamaha FZ16,Yamaha FZ16,,,
327,Yamaha FZ16,Yamaha FZ16,Individual,1st owner,44000,78712,30000,30000,0,,,Yamaha FZ16,Yamaha FZ16,,,
328,TVS Star City Plus,TVS Star City Plus,Individual,1st owner,70000,78712,42000,42000,0,,,TVS Star City Plus,TVS Star City Plus,,,
329,Royal Enfield Classic 350,Royal Enfield Classic 350,Individual,1st owner,21000,,160000,160000,0,,,Royal Enfield Classic 350,Royal Enfield Classic 350,,,
330,Bajaj Pulsar 135 LS,Bajaj Pulsar 135 LS,Individual,1st owner,17365,,20000,20000,0,,,Bajaj Pulsar 135 LS,Bajaj Pulsar 135 LS,,,
331,Suzuki Access 125,Suzuki Access 125,Individual,1st owner,80000,64589,45000,45000,0,,,Suzuki Access 125,Suzuki Access 125,,,
332,Bajaj Pulsar 135 LS,Bajaj Pulsar 135 LS,Individual,1st owner,15000,,23000,23000,0,,,Bajaj Pulsar 135 LS,Bajaj Pulsar 135 LS,,,
333,UM Renegade Commando,UM Renegade Commando,Individual,1st owner,77000,64589,140000,140000,0,,,UM Renegade Commando,UM Renegade Commando,,,
334,Hero Honda Splendor Plus,Hero Honda Splendor Plus,Individual,2nd owner,40000,180525,12000,12000,0,,,Hero Honda Splendor Plus,Hero Honda Splendor Plus,,,
335,Hero Passion PRO i3s,Hero Passion PRO i3s,Individual,1st owner,48000,,50000,50000,0,,,Hero Passion PRO i3s,Hero Passion PRO i3s,,,
336,Royal Enfield Classic 350,Royal Enfield Classic 350,Individual,1st owner,18000,56925,140000,140000,0,,,Royal Enfield Classic 350,Royal Enfield Classic 350,,,
337,Honda Activa 5G,Honda Activa 5G,Individual,1st owner,20000,,55000,55000,0,,,Honda Activa 5G,Honda Activa 5G,,,
338,Yamaha Fascino 110,Yamaha Fascino 110,Individual,1st owner,9000,59422,45000,45000,0,,,Yamaha Fascino 110,Yamaha Fascino 110,,,
339,Hero Splendor Plus,Hero Splendor Plus,Individual,1st owner,56000,54500,25000,25000,0,,,Hero Splendor Plus,Hero Splendor Plus,,,
340,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,Individual,1st owner,50000,,90000,90000,0,,,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,,,
341,Yamaha YZF R15 V3,Yamaha YZF R15 V3,Individual,1st owner,12000,,120000,120000,0,,,Yamaha YZF R15 V3,Yamaha YZF R15 V3,,,
342,KTM RC 200,KTM RC 200,Individual,1st owner,11500,,120000,120000,0,,,KTM RC 200,KTM RC 200,,,
343,TVS Radeon,TVS Radeon,Individual,1st owner,20000,,35000,35000,0,,,TVS Radeon,TVS Radeon,,,
344,Hero HF Deluxe,Hero HF Deluxe,Individual,1st owner,20000,66492,35000,35000,0,,,Hero HF Deluxe,Hero HF Deluxe,,,
345,BMW G310GS,BMW G310GS,Individual,1st owner,27000,,300000,300000,0,,,BMW G310GS,BMW G310GS,,,
346,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,Individual,1st owner,2500,349000,87000,87000,0,,,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,,,
347,Hero Honda Splendor Plus,Hero Honda Splendor Plus,Individual,1st owner,20477,,18000,18000,0,,,Hero Honda Splendor Plus,Hero Honda Splendor Plus,,,
